Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Sales Category,Profitable
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.00,2.48,29,Low,8.56
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.20,16.01,7.5,Low,170.78
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.20,7.38,32.5,Low,18.18
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.00,5.06,26,Low,19.46
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.00,15.69,26,Low,60.34
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.37,2,0.30,-1.02,-1.43,Low,49.96
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.00,240.26,23,High,1044.63
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.65,2,0.20,4.22,36.25,Low,9.32
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.00,11.77,13,Low,90.57
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.50,"-1,665.05",-54,High,1541.72
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.62,2,0.70,-7.05,-73.33,Low,2.89
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.20,15.53,12.5,Low,99.36
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.26,2,0.20,1.1,33.75,Low,2.61
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.3,6,0.20,9.71,11.25,Low,69.04
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.86,6,0.70,-5.72,-83.33,Low,2.06
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.20,3.55,22.5,Low,12.61
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.47,3,0.20,9.95,33.75,Low,23.58
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.54,7,0.20,123.47,11.25,High,878.04
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.60,-147.96,-77.5,Low,76.37
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.33,9,0.20,35.42,31.25,Low,90.66
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.4,3,0.32,-46.98,-8.82,Medium,362.03
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.06,3,0.30,-15.15,-7.14,Low,148.44
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.17,4,0.20,41.76,11.25,Low,296.93
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.17,4,0.20,16.56,11.25,Low,117.73
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0.00,3.89,5,Low,77.88
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.62,2,0.20,9.56,10,Low,76.49
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0.00,19.77,43,Low,45.98
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.00,8.21,47,Low,17.46
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.00,8.48,4,Low,211.96
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45,3,0.00,4.95,11,Low,45
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0.00,6.1,28,Low,21.8
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0.00,17.96,47,Low,38.22
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0.00,35.33,47,Low,75.18
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0.00,2.96,48,Low,6.16
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0.00,17.1,19,Low,89.99
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0.00,6.26,41,Low,15.26
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0.00,298.69,29,High,1029.95
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0.00,52.14,25,Low,208.56
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0.00,15.55,48,Low,32.4
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.10,7.1,2.22,Low,287.47
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0.00,6.99,48,Low,14.56
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30,2,0.00,3.3,11,Low,30
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.20,16.36,33.75,Low,38.78
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0.00,0.84,50,Low,1.68
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0.00,6.15,44,Low,13.98
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.82,6,0.20,9.36,36.25,Low,20.66
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0.00,68.96,47,Low,146.73
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0.00,22.33,28,Low,79.76
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.12,5,0.30,-15.22,-7.14,Low,149.18
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.02,8,0.20,111.3,10,High,890.42
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.97,4,0.20,62.99,37.5,Low,134.37
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0.00,35.66,47,Low,75.88
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.62,1,0.20,1.73,37.5,Low,3.69
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0.00,8.76,46,Low,19.05
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.94,8,0.20,-114.39,-13.75,Medium,665.55
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.20,1.21,1.25,Low,77.63
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.78,1,0.20,-18.2,-25,Low,58.23
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.25,3,0.80,-1.93,-155,Low,0.25
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.71,3,0.60,-5.82,-60,Low,3.88
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.20,2.72,10,Low,21.79
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.60,-14.48,-75,Low,7.72
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0.00,56.2,27,Low,208.16
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0.00,8.04,48,Low,16.74
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0.00,4.17,28,Low,14.9
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0.00,6.2,29,Low,21.39
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.98,7,0.20,62.81,31.25,Low,160.79
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.38,3,0.20,-48.95,-21.25,Low,184.3
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0.00,33.22,11,Low,301.96
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0.00,6.8,34,Low,19.99
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0.00,2.96,48,Low,6.16
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.37,7,0.20,13.86,8.75,Low,126.69
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0.00,6.63,33,Low,20.1
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.58,2,0.20,8.28,11.25,Low,58.87
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0.00,3.11,48,Low,6.48
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0.00,6.22,48,Low,12.96
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0.00,16.54,31,Low,53.34
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0.00,16.15,49,Low,32.96
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.68,1,0.70,-3.79,-66.67,Low,1.7
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0.00,40.54,42,Low,96.53
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.31,3,0.20,17.96,35,Low,41.05
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0.00,22.59,29,Low,77.88
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.62,7,0.20,22.62,35,Low,51.7
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.98,3,0.20,-10.8,-11.25,Low,76.78
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.79,3,0.80,-3.04,-170,Low,0.36
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0.00,11.72,49,Low,23.92
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.9,6,0.20,-26.88,-11.25,Low,191.12
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.20,-3.84,-3.75,Low,81.89
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.88,3,0.70,-25.82,-70,Low,11.06
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.11,8,0.20,17.6,23.75,Low,59.29
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.99,1,0.20,2.1,7.5,Low,22.39
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.3,1,0.20,1.07,32.5,Low,2.64
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.20,67.99,20,Low,271.97
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0.00,10.91,26,Low,41.96
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.00,22.79,30,Low,75.96
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0.00,13.35,49,Low,27.24
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.1,14,0.20,14.53,36.25,Low,32.08
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.20,1.65,35,Low,3.78
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.98,3,0.20,7.49,31.25,Low,19.18
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.46,6,0.20,44.03,33.75,Low,104.37
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0.00,165.38,21,Medium,787.53
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.79,1,0.70,-115.72,-73.33,Low,47.34
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0.00,18.35,39,Low,47.04
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0.00,13.88,45,Low,30.84
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0.00,63.44,28,Low,226.56
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0.00,51.76,45,Low,115.02
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0.00,19.73,29,Low,68.04
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.56,3,0.30,-8.58,-1.43,Medium,420.39
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.50,-407.68,-66,Medium,308.85
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.39,2,0.70,-1.83,-76.67,Low,0.72
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.99,7,0.20,30.5,12.5,Low,195.19
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.42,2,0.20,-9.16,-11.25,Low,65.14
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0.00,26.24,11,Low,238.56
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.40,-11.99,-20,Low,35.98
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.3,2,0.20,29.36,37.5,Low,62.64
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.46,9,0.20,6.97,32.5,Low,17.16
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0.00,9.62,48,Low,20.04
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0.00,16.66,47,Low,35.44
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0.00,3.46,30,Low,11.52
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0.00,1.97,49,Low,4.02
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.18,3,0.20,26.66,35,Low,60.94
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0.00,18.45,28,Low,65.88
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0.00,20.7,48,Low,43.12
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.20,10.35,12.5,Low,66.24
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0.00,2.38,27,Low,8.82
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0.00,5.1,47,Low,10.86
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0.00,68.98,48,Low,143.7
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0.00,218.25,26,Medium,839.43
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0.00,20.16,3,Medium,671.93
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.89,4,0.20,12.91,13.75,Low,75.11
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0.00,103.8,27,Low,384.45
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0.00,6,4,Low,149.97
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0.00,585.55,30,High,1951.84
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0.00,80.63,47,Low,171.55
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.20,17.77,11.25,Low,126.34
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.18,2,0.20,15.24,7.5,Low,162.55
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0.00,26.27,45,Low,58.38
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0.00,48.54,46,Low,105.52
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0.00,21.03,26,Low,80.88
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.00,1.79,27,Low,6.63
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457.57,2,0.20,51.48,11.25,Low,366.05
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0.00,6.87,47,Low,14.62
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0.00,236.23,25,Medium,944.93
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0.00,2.69,45,Low,5.98
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54.38,2,0.20,1.36,2.5,Low,43.51
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0.00,13.35,47,Low,28.4
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.20,9.69,35,Low,22.14
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9.94,3,0.20,2.73,27.5,Low,7.95
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159.95,8,0.40,"-1,359.99",-16.67,High,4895.97
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275.93,3,0.20,-58.63,-21.25,Low,220.74
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.30,-24.86,-1.43,High,1218.04
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32.06,6,0.20,6.81,21.25,Low,25.65
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.80,-453.85,-255,Low,35.6
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143.98,3,0.20,9,6.25,Low,115.18
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0.00,9.84,47,Low,20.94
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0.00,53.26,48,Low,110.96
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340.14,7,0.20,21.26,6.25,Low,272.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52.45,2,0.80,-131.12,-250,Low,10.49
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.20,6.55,32.5,Low,16.13
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97.26,4,0.80,-243.16,-250,Low,19.45
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396.8,7,0.30,-11.34,-2.86,Low,277.76
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.20,-3.77,-23.75,Low,12.7
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0.00,1.41,43,Low,3.28
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.82,2,0.20,1.86,7.5,Low,19.85
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408.74,7,0.20,76.64,18.75,Low,327
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0.00,131.03,26,Medium,503.96
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0.00,41.99,28,Low,149.95
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29,2,0.00,7.25,25,Low,29
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0.00,3.44,48,Low,7.16
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0.00,22.98,13,Low,176.8
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37.22,3,0.20,3.72,10,Low,29.78
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20.02,3,0.20,6.26,31.25,Low,16.01
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899.14,4,0.20,112.39,12.5,Medium,719.31
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6,0.00,20.09,28,Low,71.76
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0.00,24.88,48,Low,51.84
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626.35,3,0.20,46.98,7.5,Medium,501.08
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.9,5,0.00,6.57,33,Low,19.9
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,0.00,6.71,47,Low,14.28
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7.41,2,0.20,1.2,16.25,Low,5.93
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6.05,3,0.20,1.59,26.25,Low,4.84
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,0.00,12.03,26,Low,46.26
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2.95,2,0.70,-2.26,-76.67,Low,0.88
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.06,3,0.20,5.82,36.25,Low,12.84
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21.74,3,0.20,6.8,31.25,Low,17.4
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.50,-161.88,-74,Low,109.38
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1,0.20,0.29,11.25,Low,2.08
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66.28,2,0.80,-178.97,-270,Low,13.26
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35.17,7,0.20,9.67,27.5,Low,28.13
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444.77,4,0.20,44.48,10,Low,355.81
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0.00,5.87,7,Low,83.92
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0.00,35.63,27,Low,131.98
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4,0.00,7.48,47,Low,15.92
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,0.00,16.21,31,Low,52.29
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0.00,3.68,4,Low,91.99
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.20,6.5,31.25,Low,16.64
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2,0.20,8.88,37.5,Low,18.94
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.50,-244.32,-54,Low,226.23
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,62.98,3,0.40,-14.7,-23.33,Low,37.79
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,1188,9,0.70,-950.4,-80,High,356.4
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,89.58,2,0.20,4.48,5,Low,71.67
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6,0.00,26.06,28,Low,93.06
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302.38,3,0.20,22.68,7.5,Low,241.9
